"";"name";"age";"minutes";"bday";"join";"leave";"join_age";"leave_age";"age_now";"age2";"Club";"Comp";"CompName";"Som"
"1";"C.Jullien";27;2469;1993-03-22;2019-07-01;2023-06-30;26,275956284153;30,2732240437158;27,3835616438356;27.3839835728953;"Celtic FC";"SC1";"Scottish Premiership";25597
"2";"J.Frimpong";19;1109;2000-12-10;2019-09-02;2023-06-30;18,7287671232877;22,5534246575342;19,6639344262295;19.6632443531828;"Celtic FC";"SC1";"Scottish Premiership";25597
"3";"B.Bolingoli";25;1243;1995-07-01;2019-07-04;2023-05-31;24,0081967213115;27,9150684931507;25,1068493150685;25.1088295687885;"Celtic FC";"SC1";"Scottish Premiership";25597
"4";"G.Taylor";22;917;1997-11-05;2019-09-02;2023-06-30;21,8246575342466;25,6493150684932;22,7595628415301;22.7597535934292;"Celtic FC";"SC1";"Scottish Premiership";25597
"5";"H.Abd Elhamed";29;251;1991-03-18;2019-07-24;2023-05-31;28,3497267759563;32,2021857923497;29,3945205479452;29.3963039014374;"Celtic FC";"SC1";"Scottish Premiership";25597
"6";"M.Elyounoussi";26;621;1994-08-04;2019-08-30;2021-06-30;25,0710382513661;26,9041095890411;26,013698630137;26.0150581793292;"Celtic FC";"SC1";"Scottish Premiership";25597
"7";"P.Klimala";22;15;1998-08-05;2020-01-14;2024-06-30;21,4426229508197;25,9016393442623;22,0109589041096;22.0123203285421;"Celtic FC";"SC1";"Scottish Premiership";25597
"8";"M.Johnston";21;465;1999-04-19;2019-07-01;2025-06-30;20,1994535519126;26,1972602739726;21,3068493150685;21.3086926762491;"Celtic FC";"SC1";"Scottish Premiership";25597
"9";"F.Helander";27;720;1993-04-22;2019-07-13;2023-06-30;26,224043715847;30,1885245901639;27,2986301369863;27.2991101984942;"Rangers FC";"SC1";"Scottish Premiership";26664
"10";"G.Edmundson";22;374;1997-08-31;2019-07-01;2023-05-31;21,8328767123288;25,7479452054795;22,9398907103825;22.9404517453799;"Rangers FC";"SC1";"Scottish Premiership";26664
"11";"S.Davis";35;1806;1985-01-01;2019-07-01;2021-05-31;34,4958904109589;36,4109589041096;35,603825136612;35.6030116358658;"Rangers FC";"SC1";"Scottish Premiership";26664
"12";"J.Aribo";24;2160;1996-07-21;2019-07-01;2023-05-31;22,9452054794521;26,8602739726027;24,0520547945205;24.0520191649555;"Rangers FC";"SC1";"Scottish Premiership";26664
"13";"R.Kent";23;1526;1996-11-11;2019-09-02;2023-06-30;22,8082191780822;26,6328767123288;23,7431693989071;23.7426420260096;"Rangers FC";"SC1";"Scottish Premiership";26664
"14";"J.Jones";25;213;1994-10-24;2019-07-01;2023-05-31;24,6849315068493;28,6;25,792349726776;25.7932922655715;"Rangers FC";"SC1";"Scottish Premiership";26664
"15";"G.Stewart";30;382;1990-03-17;2019-07-01;2021-06-30;29,2896174863388;31,2876712328767;30,3972602739726;30.3983572895277;"Rangers FC";"SC1";"Scottish Premiership";26664
"16";"B.Barker";23;204;1996-10-04;2019-08-09;2022-05-31;22,8465753424658;25,6547945205479;23,8469945355191;23.8466803559206;"Rangers FC";"SC1";"Scottish Premiership";26664
"17";"R.Hernández";22;72;1997-10-04;2020-01-31;2024-05-31;22,3251366120219;26,655737704918;22,8469945355191;22.8473648186174;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"18";"A.Taylor";29;1181;1990-09-02;2019-07-01;2021-05-31;28,827397260274;30,7424657534247;29,9344262295082;29.9356605065024;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"19";"F.Ojo";28;1323;1991-08-28;2019-07-14;2022-05-31;27,8767123287671;30,7561643835616;28,948087431694;28.9500342231348;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"20";"C.Bryson";33;392;1986-11-06;2019-07-01;2021-05-31;32,6493150684932;34,5643835616438;33,7568306010929;33.7577002053388;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"21";"D.Campbell";19;595;2001-03-19;2019-07-01;2023-05-31;18,2841530054645;22,1994535519126;19,3917808219178;19.3921971252567;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"22";"D.McGeouch";27;484;1993-01-15;2020-01-07;2022-06-30;26,9780821917808;29,4547945205479;27,5655737704918;27.564681724846;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"23";"E.Ross";18;72;2001-08-15;2019-07-01;2021-05-31;17,8767123287671;19,7917808219178;18,983606557377;18.984257357974;"Aberdeen FC";"SC1";"Scottish Premiership";24908
