"";"name";"age";"minutes";"bday";"join";"leave";"join_age";"leave_age";"age_now";"age2";"Club";"Comp";"CompName";"Som"
"24";"R.Hedges";25;1212;1995-07-08;2019-07-01;2022-05-31;23,9808219178082;26,8958904109589;25,0876712328767;25.0896646132786;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"25";"M.Kennedy";25;636;1994-11-01;2020-01-24;2023-05-31;25,2295081967213;28,5780821917808;25,7704918032787;25.7713894592745;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"26";"C.Main";28;1045;1992-06-20;2019-07-01;2021-05-31;27,0300546448087;28,9452054794521;28,1369863013699;28.1368925393566;"Aberdeen FC";"SC1";"Scottish Premiership";24908
"27";"D.Gallagher";29;2700;1991-02-13;2019-07-01;2021-05-31;28,3780821917808;30,2931506849315;29,4863387978142;29.4866529774127;"Motherwell FC";"SC1";"Scottish Premiership";20337
"28";"J.Carroll";28;1846;1991-08-11;2019-07-01;2021-05-31;27,8876712328767;29,8027397260274;28,9945355191257;28.9965776865161;"Motherwell FC";"SC1";"Scottish Premiership";20337
"29";"B.Mugabi";25;658;1995-05-01;2019-09-12;2021-05-31;24,3661202185792;26,0821917808219;25,2739726027397;25.2758384668036;"Motherwell FC";"SC1";"Scottish Premiership";20337
"30";"B.Maguire";22;395;1998-04-27;2019-07-01;2021-05-31;21,1775956284153;23,0931506849315;22,2849315068493;22.2861054072553;"Motherwell FC";"SC1";"Scottish Premiership";20337
"31";"L.Polworth";25;2460;1994-10-12;2019-07-01;2021-05-31;24,7178082191781;26,6328767123288;25,8251366120219;25.8261464750171;"Motherwell FC";"SC1";"Scottish Premiership";20337
"32";"J.Hylton";27;1606;1993-06-28;2019-07-01;2021-05-31;26,0081967213115;27,9232876712329;27,1150684931507;27.1156741957563;"Motherwell FC";"SC1";"Scottish Premiership";20337
"33";"C.Long";25;1656;1995-02-25;2019-07-01;2021-05-31;24,3452054794521;26,2602739726027;25,4535519125683;25.4537987679671;"Motherwell FC";"SC1";"Scottish Premiership";20337
"34";"S.Seedorf";22;878;1998-03-17;2019-07-08;2021-05-31;21,3087431693989;23,2054794520548;22,3972602739726;22.3983572895277;"Motherwell FC";"SC1";"Scottish Premiership";20337
"35";"T.Watt";26;196;1993-12-29;2020-02-07;2021-05-31;26,1092896174863;27,4191780821918;26,6120218579235;26.611909650924;"Motherwell FC";"SC1";"Scottish Premiership";20337
"36";"A.Hickey";18;1910;2002-06-10;2019-08-01;2021-05-31;17,1420765027322;18,972602739726;18,1643835616438;18.1656399726215;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"37";"C.Halkett";25;2095;1995-05-29;2019-07-01;2022-05-31;24,0901639344262;27,0054794520548;25,1972602739726;25.1991786447639;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"38";"A.White";28;864;1991-10-10;2019-07-01;2021-05-31;27,7232876712329;29,6383561643836;28,8306010928962;28.8323066392882;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"39";"A.Irving";20;1258;2000-05-13;2019-08-01;2021-05-31;19,2185792349727;21,0493150684932;20,241095890411;20.2409308692676;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"40";"C.Morrison";21;206;1999-07-05;2019-07-01;2021-05-31;19,9890410958904;21,9041095890411;21,0958904109589;21.09787816564;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"41";"L.Damour";29;973;1991-01-08;2019-08-09;2023-05-31;28,5835616438356;32,3917808219178;29,5846994535519;29.5852156057495;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"42";"S.Naismith";33;1161;1986-09-14;2019-08-01;2023-05-31;32,8794520547945;36,7095890410959;33,9016393442623;33.9028062970568;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"43";"C.Washington";28;849;1992-05-18;2019-07-01;2021-06-30;27,120218579235;29,1178082191781;28,227397260274;28.227241615332;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"44";"L.Boyce";29;606;1991-04-08;2020-01-24;2023-05-31;28,7950819672131;32,1448087431694;29,3369863013699;29.3388090349076;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"45";"J.Walker";27;937;1993-06-25;2019-07-01;2022-05-31;26,016393442623;28,9315068493151;27,1232876712329;27.1238877481177;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"46";"E.Henderson";20;497;2000-06-29;2020-02-17;2022-05-31;19,6366120218579;21,9205479452055;20,1123287671233;20.1122518822724;"Heart of Midlothian FC";"SC1";"Scottish Premiership";19302
"47";"A.Jackson";26;1023;1994-05-18;2019-07-01;2021-05-31;25,120218579235;27,0356164383562;26,227397260274;26.2286105407255;"Hibernian FC";"SC1";"Scottish Premiership";21852
"48";"P.McGinn";29;584;1990-10-22;2020-01-31;2021-05-31;29,275956284153;30,6054794520548;29,7978142076503;29.7987679671458;"Hibernian FC";"SC1";"Scottish Premiership";21852
"49";"T.James";24;495;1996-04-15;2019-07-01;2022-06-30;23,2103825136612;26,2082191780822;24,3178082191781;24.3175906913073;"Hibernian FC";"SC1";"Scottish Premiership";21852
"50";"S.Mackie";21;100;1998-11-04;2019-07-01;2022-05-31;20,6547945205479;23,5698630136986;21,7622950819672;21.7631759069131;"Hibernian FC";"SC1";"Scottish Premiership";21852
"51";"S.Allan";28;2228;1991-11-28;2019-07-01;2022-05-31;27,5890410958904;30,5041095890411;28,6967213114754;28.6981519507187;"Hibernian FC";"SC1";"Scottish Premiership";21852
"52";"J.Newell";27;1063;1993-03-15;2019-07-01;2021-05-31;26,2950819672131;28,2109589041096;27,4027397260274;27.4031485284052;"Hibernian FC";"SC1";"Scottish Premiership";21852
"53";"M.Hallberg";24;1467;1995-10-20;2019-08-23;2022-05-31;23,841095890411;26,6109589041096;24,8032786885246;24.8049281314168;"Hibernian FC";"SC1";"Scottish Premiership";21852
"54";"C.Doidge";27;2233;1992-08-25;2019-07-01;2022-05-31;26,8493150684932;29,7643835616438;27,9562841530055;27.9561943874059;"Hibernian FC";"SC1";"Scottish Premiership";21852
"55";"R.Laidlaw";28;1530;1992-07-12;2019-07-01;2021-05-31;26,9698630136986;28,8849315068493;28,0767123287671;28.0766598220397;"Ross County FC";"SC1";"Scottish Premiership";20215
"56";"C.Donaldson";25;621;1995-04-09;2020-01-15;2022-05-31;24,7677595628415;27,1424657534247;25,3342465753425;25.3360711841205;"Ross County FC";"SC1";"Scottish Premiership";20215
"57";"J.Chalmers";26;731;1994-01-03;2019-07-01;2021-05-31;25,4904109589041;27,4054794520548;26,5983606557377;26.5982203969884;"Ross County FC";"SC1";"Scottish Premiership";20215
"58";"J.Tillson";27;366;1993-03-05;2020-01-15;2020-05-31;26,8633879781421;27,2383561643836;27,4301369863014;27.4305270362765;"Ross County FC";"SC1";"Scottish Premiership";20215
"59";"L.Erwin";26;953;1994-03-19;2019-07-23;2021-05-31;25,344262295082;27,2;26,3917808219178;26.3928815879535;"Ross County FC";"SC1";"Scottish Premiership";20215
"60";"B.Spittal";24;1011;1995-12-19;2019-07-01;2021-05-31;23,5315068493151;25,4465753424658;24,6393442622951;24.6406570841889;"Ross County FC";"SC1";"Scottish Premiership";20215
"61";"O.Shaw";21;216;1998-09-12;2020-01-22;2022-05-31;21,3606557377049;23,7150684931507;21,9071038251366;21.9082819986311;"Ross County FC";"SC1";"Scottish Premiership";20215
"62";"J.McCart";23;674;1997-06-20;2020-01-28;2022-05-31;22,6065573770492;24,9452054794521;23,1369863013699;23.1375770020534;"St. Johnstone FC";"SC1";"Scottish Premiership";21767
"63";"C.Booth";29;1079;1991-05-30;2019-09-16;2021-01-01;28,2978142076503;29,5917808219178;29,1945205479452;29.1964407939767;"St. Johnstone FC";"SC1";"Scottish Premiership";21767
"64";"W.Duffy";21;970;1999-04-12;2019-07-01;2021-05-31;20,2185792349727;22,1342465753425;21,3260273972603;21.3278576317591;"St. Johnstone FC";"SC1";"Scottish Premiership";21767
"65";"S.May";27;1633;1992-11-02;2019-08-30;2021-05-31;26,8246575342466;28,5753424657534;27,7677595628415;27.7672826830938;"St. Johnstone FC";"SC1";"Scottish Premiership";21767
"66";"E.Eric Ambrose";31;270;1988-10-18;2020-02-18;2021-05-31;31,3360655737705;32,6164383561644;31,8087431693989;31.8083504449008;"Livingston FC";"SC1";"Scottish Premiership";23158
"67";"J.Guthrie";28;2520;1992-07-29;2019-08-12;2021-05-31;27,0382513661202;28,8383561643836;28,0301369863014;28.0301163586585;"Livingston FC";"SC1";"Scottish Premiership";23158
"68";"N.Devlin";26;940;1993-10-17;2019-07-01;2021-05-30;25,7041095890411;27,6164383561644;26,8114754098361;26.8117727583847;"Livingston FC";"SC1";"Scottish Premiership";23158
"69";"A.Taylor-Sinclair";29;1077;1991-04-08;2019-11-06;2021-05-31;28,5792349726776;30,1452054794521;29,3369863013699;29.3388090349076;"Livingston FC";"SC1";"Scottish Premiership";23158
"70";"C.Pepe";23;25;1996-11-09;2019-07-01;2021-05-31;22,641095890411;24,5561643835616;23,7486338797814;23.7481177275838;"Livingston FC";"SC1";"Scottish Premiership";23158
"71";"R.Crawford";26;1198;1994-06-22;2019-07-01;2021-05-31;25,0245901639344;26,9397260273973;26,1315068493151;26.1327857631759;"Livingston FC";"SC1";"Scottish Premiership";23158
"72";"M.Bartley";34;2335;1986-07-04;2019-07-01;2022-05-31;32,9917808219178;35,9068493150685;34,0986301369863;34.0999315537303;"Livingston FC";"SC1";"Scottish Premiership";23158
"73";"A.Souda";27;850;1993-02-28;2019-07-10;2021-05-31;26,3616438356164;28,2520547945205;27,4453551912568;27.4442162902122;"Livingston FC";"SC1";"Scottish Premiership";23158
"74";"K.Broadfoot";36;491;1984-08-08;2020-01-31;2021-05-31;35,4808743169399;36,8109589041096;36,0027397260274;36.0027378507871;"Kilmarnock FC";"SC1";"Scottish Premiership";16039
"75";"M.El Makrini";33;1537;1987-07-06;2019-07-09;2021-05-31;32,0081967213115;33,9013698630137;33,0931506849315;33.0951403148528;"Kilmarnock FC";"SC1";"Scottish Premiership";16039
"76";"N.Kabamba";27;810;1993-02-01;2020-01-17;2021-05-31;26,958904109589;28,3260273972603;27,5191256830601;27.5181382614647;"Kilmarnock FC";"SC1";"Scottish Premiership";16039
"77";"J.Hamilton";18;747;2002-03-01;2019-07-01;2022-05-31;17,3333333333333;20,2493150684931;18,441095890411;18.4421629021218;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"78";"B.Easton";32;1441;1988-03-05;2019-07-01;2021-05-31;31,3224043715847;33,2383561643836;32,4301369863014;32.4298425735797;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"79";"C.McKenna";22;118;1998-03-25;2019-07-01;2020-05-31;21,2677595628415;22,1835616438356;22,3753424657534;22.3764544832307;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"80";"M.Fjörtoft";26;486;1994-01-12;2019-07-01;2020-05-31;25,4657534246575;26,3825136612022;26,5737704918033;26.5735797399042;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"81";"G.Stanger";19;90;2000-08-15;2019-07-01;NA;18,8767123287671;NA;19,983606557377;19.9835728952772;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"82";"L.Smith";20;1533;2000-03-16;2019-11-01;2022-05-31;19,6284153005464;22,2082191780822;20,4;20.3997262149213;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"83";"W.Collar";23;1254;1997-02-03;2019-07-01;2021-05-31;22,4054794520548;24,3205479452055;23,5136612021858;23.5126625598905;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"84";"R.Mimnaugh";18;6;2001-12-18;2019-08-01;2021-05-31;17,6191780821918;19,4493150684931;18,6420765027322;18.6420260095825;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"85";"D.Moyo";25;792;1994-12-17;2019-07-30;2023-05-31;24,6164383561644;28,4520547945205;25,6448087431694;25.6454483230664;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"86";"D.Templeton";31;274;1989-01-07;2020-01-31;2022-05-31;31,0655737704918;33,3945205479452;31,5874316939891;31.5865845311431;"Hamilton Academical FC";"SC1";"Scottish Premiership";14058
"87";"C.McCarthy";22;751;1998-04-11;2020-01-07;2022-05-31;21,7404371584699;24,1369863013699;22,3287671232877;22.3299110198494;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"88";"I.Durmus";26;1786;1994-05-01;2019-07-30;2021-06-30;25,2459016393443;27,1643835616438;26,2739726027397;26.2751540041068;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"89";"S.Foley";33;2415;1986-10-17;2019-08-01;2021-05-31;32,7890410958904;34,6191780821918;33,8114754098361;33.8124572210815;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"90";"J.Obika";29;2320;1990-09-12;2019-08-02;2021-05-31;28,8876712328767;30,7150684931507;29,9071038251366;29.9082819986311;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"91";"K.McAllister";21;497;1999-01-21;2019-08-09;2022-05-31;20,5479452054795;23,3561643835616;21,5491803278689;21.5496235455168;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"92";"J.Morias";25;1275;1995-07-04;2019-08-22;2021-05-31;24,1338797814208;25,9068493150685;25,0986301369863;25.1006160164271;"St. Mirren FC";"SC1";"Scottish Premiership";14535
"93";"J.McGrath";23;381;1996-09-30;2020-01-07;2022-05-31;23,2704918032787;25,6657534246575;23,8579234972678;23.8576317590691;"St. Mirren FC";"SC1";"Scottish Premiership";14535
