"","xG","Date","PlayerId","TeamId","HomeTeam","AwayTeam","minute","second","x","y","angle","distance","Type_of_play","GamestateOne","GamestateTwo","zone","Bodypart","isGoal","isBigChance","relatedPlayerId","isIntentionalAssist","isAssistedShot","isOwnGoal","goalMouthY","goalMouthZ","expandedMinute","Goal","Time_in_sec","Gamestate"
"1",0.051158394664526,"20-Mar-21","Jari Vlak","FC Emmen","Feyenoord","FC Emmen",4,35,93.8,38.5,25.4613188875075,10.5290122993565,"FromCorner","Draw","Draw","BoxCentre","Head",NA,"No","Sergio Peña","Yes","Yes","FALSE",39.3,16.7,4,0,275,"Draw"
"2",0.0334268249571323,"20-Mar-21","Luka Adzic","FC Emmen","Feyenoord","FC Emmen",7,22,86.2,75.9,10.9221649266043,23.6172724081338,"RegularPlay","Draw","Draw","BoxLeft","RightFoot",NA,"No","Caner Cavlan","No","Yes","FALSE",51.1,1.3,7,0,442,"Draw"
"3",0.0294428840279579,"20-Mar-21","Jari Vlak","FC Emmen","Feyenoord","FC Emmen",8,13,69.1,70.1,9.73089012348511,34.2935252781046,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",NA,"No","Luka Adzic","No","Yes","FALSE",58.3,8.3,8,0,493,"Draw"
"4",0.0512146912515163,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",13,16,80.6,35.5,14.8281071478346,22.1696391490705,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",NA,"No","Steven Berghuis","No","Yes","FALSE",51.7,19,13,0,796,"Draw"
"5",0.0326979048550129,"20-Mar-21","Steven Berghuis","Feyenoord","Feyenoord","FC Emmen",13,27,72.8,50.9,12.7907534466993,27.2081523812257,"RegularPlay","Draw","Draw","OutOfBoxCentre","LeftFoot",NA,"No","Jens Toornstra","No","Yes","FALSE",51.9,5.7,13,0,807,"Draw"
"6",0.0324750691652298,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",18,27,75.6,25.8,10.427695554892,30.2664246980049,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",NA,"No","Steven Berghuis","No","Yes","FALSE",52.1,19,18,0,1107,"Draw"
"7",0.0570648573338985,"20-Mar-21","Luka Adzic","FC Emmen","Feyenoord","FC Emmen",19,45,77.7,52.7,15.492441611804,22.3893279041601,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",NA,"No","Miguel Araujo","No","Yes","FALSE",48.7,19,19,0,1185,"Draw"
"8",0.0573872774839401,"20-Mar-21","Steven Berghuis","Feyenoord","Feyenoord","FC Emmen",21,22,85.5,32.8,15.7581735374966,19.2938327970365,"RegularPlay","Draw","Draw","BoxRight","RightFoot",NA,"No","Lutsharel Geertruida","Yes","Yes","FALSE",59.8,65.3,21,0,1282,"Draw"
"9",0.0358118414878845,"20-Mar-21","Steven Berghuis","Feyenoord","Feyenoord","FC Emmen",27,26,87.5,27.6,12.7215453815317,20.760871272661,"RegularPlay","Draw","Draw","BoxRight","RightFoot",NA,"No","Luis Sinisterra","Yes","Yes","FALSE",52.9,3.2,27,0,1646,"Draw"
"10",0.0409872643649578,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",33,9,73.5,44.9,12.9525430202555,26.7673882924726,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",NA,"No","João Teixeira","No","Yes","FALSE",46.8,28.5,33,0,1989,"Draw"
"11",0.101616516709328,"20-Mar-21","Bryan Linssen","Feyenoord","Feyenoord","FC Emmen",34,40,87.5,45.5,26.2458230097496,12.9359537723355,"RegularPlay","Draw","Draw","BoxCentre","RightFoot",NA,"No","Steven Berghuis","Yes","Yes","FALSE",68.6,15.3,34,0,2080,"Draw"
"12",0.0837354138493538,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",36,35,81.6,53.3,18.6060098500344,18.5613405765855,"RegularPlay","Draw","Draw","OutOfBoxCentre","RightFoot",TRUE,"No","Bryan Linssen","No","Yes","FALSE",50.2,21.5,36,1,2195,"Draw"
"13",0.0536632686853409,"20-Mar-21","João Teixeira","Feyenoord","Feyenoord","FC Emmen",38,35,81.8,35.2,15.3211301342075,21.2411464850653,"RegularPlay","Leading","Trailing","OutOfBoxCentre","RightFoot",NA,"No","Lutsharel Geertruida","No","Yes","FALSE",41.5,4.2,38,0,2315,"Leading"
"14",0.0784529224038124,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",46,4,91.3,67.5,16.1849353432358,15.6010416318911,"ThrowinSetPiece","Leading","Trailing","BoxLeft","RightFoot",NA,"No","Tyrell Malacia","Yes","Yes","FALSE",0.3,6.9,47,0,2764,"Leading"
"15",0.029847577214241,"20-Mar-21","Tyrell Malacia","Feyenoord","Feyenoord","FC Emmen",48,12,70.7,76.4,9.11303113452459,35.2156967274538,"RegularPlay","Leading","Trailing","OutOfBoxCentre","LeftFoot",NA,"No","Steven Berghuis","No","Yes","FALSE",38.3,5.6,49,0,2892,"Leading"
"16",0.296049803495407,"20-Mar-21","Luka Adzic","FC Emmen","Feyenoord","FC Emmen",53,31,94.4,57.3,38.908235601582,7.78084853984448,"RegularPlay","Leading","Trailing",NA,"Head",NA,"Yes","Glenn Bijl","Yes","Yes","FALSE",57.3,6.9,54,0,3211,"Trailing"
"17",0.0639714896678925,"20-Mar-21","Steven Berghuis","Feyenoord","Feyenoord","FC Emmen",56,26,87.3,32,15.7222781738026,18.4041408384092,"RegularPlay","Leading","Trailing","BoxRight","RightFoot",NA,"No","Luis Sinisterra","Yes","Yes","FALSE",63.4,5.6,57,0,3386,"Leading"
"18",0.0294428840279579,"20-Mar-21","Sergio Peña","FC Emmen","Feyenoord","FC Emmen",56,47,68.9,52.1,11.1831728011534,31.1388008118489,"RegularPlay","Leading","Trailing","OutOfBoxCentre","RightFoot",NA,"No","Caner Cavlan","No","Yes","FALSE",49.3,31,57,0,3407,"Trailing"
"19",0.0451028347015381,"20-Mar-21","Sergio Peña","FC Emmen","Feyenoord","FC Emmen",58,27,74.5,54.3,13.4986661072455,25.697764961179,"RegularPlay","Leading","Trailing","OutOfBoxCentre","RightFoot",NA,"No","Jari Vlak","No","Yes","FALSE",49.3,7.6,59,0,3507,"Trailing"
"20",0.0333181284368038,"20-Mar-21","Jari Vlak","FC Emmen","Feyenoord","FC Emmen",59,29,77.8,31.8,12.5266037836168,25.9658819222456,"RegularPlay","Leading","Trailing","OutOfBoxCentre","RightFoot",NA,"No","No","No","No","FALSE",54.2,3.8,60,0,3569,"Trailing"
"21",0.106286980211735,"20-Mar-21","Bryan Linssen","Feyenoord","Feyenoord","FC Emmen",61,10,88.3,63.6,19.8289764008262,15.4328900728282,"FastBreak","Leading","Trailing","BoxLeft","RightFoot",NA,"No","Luis Sinisterra","Yes","Yes","FALSE",49.6,19,62,0,3670,"Leading"
"22",0.097524106502533,"20-Mar-21","Luis Sinisterra","Feyenoord","Feyenoord","FC Emmen",63,32,85.1,49.4,23.1237210017004,14.9066138341342,"RegularPlay","Leading","Trailing","BoxCentre","RightFoot",NA,"No","Steven Berghuis","No","Yes","FALSE",50.6,19,64,0,3812,"Leading"
"23",0.0998416170477867,"20-Mar-21","Luis Sinisterra","Feyenoord","Feyenoord","FC Emmen",66,31,95,45.2,51.2725591723711,6.13324579647677,"FromCorner","Leading","Trailing",NA,"Head",NA,"No","Steven Berghuis","No","Yes","FALSE",47.2,19,67,0,3991,"Leading"
"24",0.0474467314779758,"20-Mar-21","Orkun Kökcü","Feyenoord","Feyenoord","FC Emmen",69,52,76.7,39.2,13.8162260759743,24.6325407540513,"RegularPlay","Leading","Trailing","OutOfBoxCentre","RightFoot",NA,"No","Nicolai Jørgensen","No","Yes","FALSE",48.5,19,70,0,4192,"Leading"
"25",0.0536632686853409,"20-Mar-21","Tyrell Malacia","Feyenoord","Feyenoord","FC Emmen",73,14,86.6,68.8,15.0185674920058,19.31589355945,"RegularPlay","Leading","Trailing","BoxLeft","RightFoot",NA,"No","Orkun Kökcü","No","Yes","FALSE",50.4,5.7,74,0,4394,"Leading"
"26",0.79,"20-Mar-21","Michael de Leeuw","FC Emmen","Feyenoord","FC Emmen",78,36,88.5,50,29.7077294712648,11.5,"Penalty","Leading","Trailing","BoxCentre","RightFoot",TRUE,"Yes","No","No","No","FALSE",53.1,5.1,79,1,4716,"Trailing"
"27",0.0857034474611282,"20-Mar-21","Steven Berghuis","Feyenoord","Feyenoord","FC Emmen",85,33,82.9,53.6,19.907467157629,17.3062675352024,"RegularPlay","Draw","Draw","OutOfBoxCentre","LeftFoot",NA,"No","Nicolai Jørgensen","No","Yes","FALSE",42.9,11.1,86,0,5133,"Draw"
"28",0.0875658988952637,"20-Mar-21","Aliou Balde","Feyenoord","Feyenoord","FC Emmen",90,59,87.4,63.4,19.4424976573139,16.0339345140237,"RegularPlay","Draw","Draw","BoxLeft","LeftFoot",NA,"No","Robert Bozenik","Yes","Yes","FALSE",60.8,12.5,91,0,5459,"Draw"
